d1;d2;d3;d4;n
1;1;1;1;1
1;0.0322581;0.0645161;0.0322581;31
1;0.0491803;0.0983607;0.0491803;61
1;0.0549451;0.0879121;0.032967;91
0.834711;0.0495868;0.0743802;0.0413223;121
0.668874;0.0529801;0.0794702;0.0397351;151
0.585635;0.0497238;0.0718232;0.0497238;181
0.516588;0.0616114;0.0663507;0.0473934;211
0.452282;0.0622407;0.06639;0.0456432;241
0.416974;0.0553506;0.0701107;0.0516605;271
0.38206;0.0531561;0.0664452;0.0465116;301
0.350453;0.0483384;0.0634441;0.0483384;331
0.32133;0.0443213;0.0581717;0.0526316;361
0.299233;0.0511509;0.0613811;0.056266;391
0.28266;0.0475059;0.0593824;0.0570071;421
0.27051;0.0465632;0.0554324;0.0554324;451
0.255717;0.047817;0.0519751;0.0519751;481
0.244618;0.0567515;0.0508806;0.0528376;511
0.232902;0.0573013;0.0480592;0.051756;541
0.222417;0.0577933;0.0472855;0.0490368;571
0.212978;0.0615641;0.0482529;0.0499168;601
0.206022;0.0602219;0.0459588;0.0554675;631
0.196672;0.0574887;0.0468986;0.0529501;661
0.192475;0.0564399;0.0463097;0.0535456;691
0.185853;0.0540915;0.0457698;0.0513176;721
0.181092;0.0519308;0.0439414;0.0505992;751
0.177977;0.0512164;0.0473752;0.049936;781
0.176326;0.0517879;0.0468557;0.0493218;811
0.172414;0.0535077;0.0451843;0.0499405;841
0.168772;0.0528129;0.0447761;0.0482204;871
0.163152;0.0521643;0.0466149;0.0477247;901
0.160043;0.0526316;0.047261;0.047261;931
0.157128;0.0541103;0.0468262;0.0478668;961
0.15338;0.0544904;0.0454087;0.0474268;991
0.150833;0.0568071;0.0460333;0.0489716;1021
0.14843;0.0551855;0.0485252;0.0504282;1051
0.145236;0.0545791;0.0471785;0.0508788;1081
0.142214;0.0549055;0.0477048;0.049505;1111
0.139351;0.0560911;0.0482033;0.0499562;1141
0.135781;0.05807;0.0495303;0.0520922;1171
0.13239;0.0574521;0.0482931;0.0549542;1201
0.130788;0.056052;0.0471162;0.0552396;1231
0.129262;0.0586836;0.0475813;0.0555115;1261
0.127808;0.0580945;0.0472502;0.0565453;1291
0.127933;0.0582892;0.0476911;0.0552612;1321
0.126573;0.057735;0.0466321;0.0555144;1351
0.124547;0.0564808;0.0463432;0.0550326;1381
0.122608;0.0552799;0.0460666;0.0545712;1411
0.120056;0.055517;0.0464955;0.054823;1441
0.118287;0.0564242;0.0462271;0.0550646;1471
